player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Michael Porter Jr.,portemi01,2022,RS,DEN,554,265,-3.93813250754359,3.939676983808676,.0015444762650865,-4.913552778653771,10.82282340517321,5.909270626519443,-4.409507857913219,5.636356815331962,1.226848957418743,.5362090172308289,.5362090172308289,0,-1.801111416248889,3.897531634436716,2.096420218187827,-.2739416394404954
Otto Porter Jr.,porteot01,2022,PO,GSW,760,371,.9097614594535598,.6827213237700296,1.592482783223589,6.534879261624734,.9671810032631276,7.502060264887861,2.04190169438816,.7208919303843895,2.76279362477255,1.064613386817628,0,1.064613386817628,1.98831968560994,.9350191075733898,2.92333879318333,-1.047783975346248
Otto Porter Jr.,porteot01,2022,RS,GSW,2911,1396,.6224599338223804,1.794462047930763,2.416921981753143,-.5177363721393102,2.898991151884688,2.381254779745377,.4129582382494105,2.07815342948767,2.491111667737081,3.713579420618894,3.713579420618894,0,.6029658249138412,2.326236609528359,2.929202434442201,-.5182615535211823
Bobby Portis,portibo01,2022,PO,MIL,627,298,-.7588781393224189,4.012884587286553,3.254006447964135,-6.043917672064516,9.423183937480065,3.379266265415549,-1.852782379613691,5.26849460781398,3.415712228200289,.9680898962245408,0,.9680898962245408,-2.757236309608633,3.404993296013437,.6477569864048047,.1266735876535398
Bobby Portis,portibo01,2022,RS,MIL,4290,2028,.1501099011412809,1.135404020125649,1.28551392126693,3.243568286963504,.5472309268310395,3.790799213794543,.7658230194204926,1.074315630949383,1.840138650369875,4.732941106101651,4.732941106101651,0,1.166714103986953,.6985850463578354,1.865299150344789,-.3455152222407975
Kristaps Porzingis,porzikr01,2022,RS,WAS,982,479,4.180648850534837,.0546835159915828,4.23533236652642,2.196447652051416,-3.584837235052097,-1.38838958300068,4.05378237938929,-.6656586923030628,3.388123687086227,1.512831026551087,1.512831026551087,0,3.823813937978871,.1824627283114901,4.006276666290361,.8507018206092672
Kristaps Porzingis,porzikr01,2022,RS,DAL,2039,1002,.5872376703446148,1.216949565524064,1.804187235868679,-2.691931272650941,1.031318933925135,-1.660612338725806,-.0854739696088821,1.209763603711745,1.124289634102863,1.99072451508575,1.99072451508575,0,.8377455934240409,1.801961021636977,2.639706615061018,.5103921869727757
Micah Potter,pottemi01,2022,RS,DET,73,31,-5.589321093006366,-1.638193629374194,-7.22751472238056,-24.84250602375034,-3.80738003697852,-28.64988606072885,-9.891401307758768,-2.140688664653866,-12.03208997241263,-.1473115773967521,-.1473115773967521,0,-9.694565060698421,-1.721194411990881,-11.4157594726893,.3434435029075407
Dwight Powell,poweldw01,2022,PO,DAL,485,249,-2.8258489855933,3.458522915404988,.6326739298116877,1.785777267549521,4.373710491795463,6.159487759344985,-2.092565159384555,3.860370262926885,1.76780510354233,.5925249516368032,0,.5925249516368032,-1.924401157724091,3.401824402473578,1.477423244749487,.0961025047952394
Dwight Powell,poweldw01,2022,RS,DAL,3563,1798,.3906979292521509,.0503198365591023,.4410177658112532,.7022993521884073,-1.949485346358012,-1.247185994169605,.4648215012035492,-.4201047289038536,.0447167722996956,2.546235419742688,2.546235419742688,0,-.456353994742943,.6658757603997455,.2095217656568025,-.6814142826220336
Myles Powell,powelmy01,2022,RS,PHI,111,52,-6.250527710833205,-1.565337842373384,-7.815865553206589,-5.324526089663056,-7.468318306427311,-12.79284439609037,-6.485437984145149,-2.930694912510541,-9.416132896655689,-.1767893341815519,-.1767893341815519,0,-7.433139153530412,-2.575267376695638,-10.00840653022605,-.0372281505417161
Norman Powell,powelno01,2022,RS,LAC,268,125,8.372817213081538,-3.020822086959406,5.351995126122132,.8055417891248391,-3.937802999551832,-3.132261210426993,7.335486428112739,-3.431237229344955,3.904249198767784,.4287147785499171,.4287147785499171,0,6.438554276651187,-2.726476592995897,3.71207768365529,1.022718847769217
Norman Powell,powelno01,2022,RS,POR,2748,1333,.7108102676017355,-1.404216959890174,-.6934066922884389,.1877384970843271,-7.043921306616995,-6.856182809532668,.710067259802833,-2.610843329995283,-1.90077607019245,.5797286686458708,.5797286686458708,0,1.028616345402384,-2.167583463133694,-1.13896711773131,.3764881903207818
Joshua Primo,primojo01,2022,RS,SAS,2051,965,-3.593457683753465,-.8612111906485578,-4.454668874402023,-3.266685621578993,-.1964953087052128,-3.463180930284206,-3.741373464643404,-.7692817769085485,-4.510655241551953,-.8724405399475781,-.8724405399475781,0,-3.66398160103637,-1.010859261532844,-4.674840862569214,.6453758923523343
Taurean Prince,princta02,2022,PO,MIN,151,65,-3.658480861243067,1.996222745637341,-1.662258115605726,-11.71787219569985,-2.361110354253493,-14.07898254995334,-5.552525835390438,1.136481385096534,-4.416044450293905,-.0583890211850573,0,-.0583890211850573,-3.629098349566853,-.0522995263375278,-3.681397875904381,2.398313069839189
Taurean Prince,princta02,2022,RS,MIN,2564,1177,-.648524039359833,.2858575878040569,-.3626664515557761,-.664270034136724,-1.676833344918938,-2.341103379055662,-.7270656316839808,-.1208063691163788,-.8478720008003595,1.152549608210373,1.152549608210373,0,-.8003331803015686,-.3268053421146964,-1.127138522416265,.9027687723143407
Payton Pritchard,pritcpa01,2022,PO,BOS,624,309,2.76117481079155,-.917626344050839,1.843548466740711,6.976968932023357,2.307455608331345,9.284424540354703,3.775219898667829,-.387851548979126,3.387368349688703,.987060754646323,0,.987060754646323,3.533329496419898,-1.12871909384641,2.404610402573488,-1.057322386069444
Payton Pritchard,pritcpa01,2022,RS,BOS,2049,1001,2.341707674007484,-.0546875864189234,2.28702008758856,-2.548040372982552,-.9539518205655692,-3.501992193548122,1.42395639028342,-.304460360192746,1.119496030090674,1.954445291236193,1.954445291236193,0,.8284693404309872,-.9599767831253359,-.1315074426943487,-1.100421133023352
Trevelin Queen,queentr01,2022,RS,HOU,163,74,1.72008489855725,-2.375259640495449,-.655174741938199,5.212384058067409,2.279337561374171,7.49172161944158,2.659531632775598,-1.435700927887036,1.223830704888562,.1525446260809374,.1525446260809374,0,1.428765977737327,-2.740697786588539,-1.311931808851212,1.675328203935171
Neemias Queta,quetane01,2022,RS,SAC,252,120,-2.879715157733939,-.2131501800862899,-3.092865337820229,-1.157634632937357,2.571966917471267,1.414332284533909,-2.64373564848184,.4456944411548541,-2.198041207326986,.0338000305678472,.0338000305678472,0,-2.658848118938293,-1.011738351026809,-3.670586469965102,.0204350542568124
Immanuel Quickley,quickim01,2022,RS,NYK,3614,1802,2.042533577889224,.4064981911327885,2.449031769022013,2.811080520387462,5.817125765323445,8.628206285710908,2.355006638723036,1.543113903264389,3.898120541987425,6.032749844354028,6.032749844354028,0,1.86251957217521,1.451080891816085,3.313600463991294,-1.299119550636437
Jahmi'us Ramsey,ramseja01,2022,RS,SAC,291,134,-2.287200240397878,-7.055644523778614,-9.342844764176492,3.119799555624577,-6.807501186581274,-3.687701630956698,-1.218624723903768,-7.346856497764874,-8.565481221668643,-.395178899427544,-.395178899427544,0,-1.859148212739189,-7.497933784674145,-9.357081997413333,-.605406681277327
Julius Randle,randlju01,2022,RS,NYK,5177,2544,-2.054546775891415,-.7294483177181716,-2.783995093609587,-2.779559460632768,-1.691923459756954,-4.471482920389722,-2.287313206843011,-.9926324804787754,-3.279945687321787,-.6921655778930863,-.6921655778930863,0,-1.370073239880891,-1.126813419795561,-2.496886659676453,.6285354407741933
Austin Reaves,reaveau01,2022,RS,LAL,3008,1418,-.0459233172170986,1.725252987166762,1.679329669949663,.1024817256291535,.9471113646931042,1.049593090322258,.0019510372331587,1.685455645037753,1.687406682270912,3.200876531075183,3.200876531075183,0,-.8403199202035331,1.239121335247146,.3988014150436129,-.293615737124871
Cam Reddish,reddica01,2022,RS,NYK,455,215,-1.173732960122711,1.117830749469223,-.0559022106534888,-6.066124150434874,-.3192027152831935,-6.385326865718067,-2.25946116888219,.8634530689092957,-1.396008099972894,.1494799392883849,.1494799392883849,0,-2.233661737893302,.4304576603561658,-1.803204077537136,.6440285095243979
Cam Reddish,reddica01,2022,RS,ATL,1667,797,-1.560264509628326,-.7221226082623879,-2.282387117890714,-7.077016986692454,-2.694837015095491,-9.771854001787945,-2.86751951359233,-1.145563021713164,-4.013082535305494,-.5151921180181196,-.5151921180181196,0,-2.025872661342779,-1.089713751185778,-3.115586412528557,.308732477391097
Davon Reed,reedda01,2022,RS,DEN,1396,668,.1975501983924983,.1124189407121123,.3099691391046107,-2.109409533717253,.0800974925733784,-2.029312041143875,-.2654184718011396,.1045942001746114,-.1608242716265283,.8737638878658956,.8737638878658956,0,-.5640212639260996,-.3302435917228466,-.8942648556489463,-.9816867194830698
