player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Quentin Grimes,grimequ01,2022,1583,786,-.5573337817748409,.7850120659623637,.2276782841875228,-4.432388081444771,3.732527439358316,-.6998606420864557,-1.393638878909563,1.433797932206373,.0401590532968099,1.117362849367761,1.117362849367761,0,-.6808840239464243,1.106134623857791,.4252505999113668,-.1375425398477182
Kyle Guy,guyky01,2022,400,186,-1.293185730099926,-.0143267172961219,-1.307512447396048,-7.380746327115404,-1.541062154616193,-8.921808481731597,-2.677639697447352,-.3832573553916473,-3.060897052838999,-.0298647297088398,-.0298647297088398,0,-2.099819950140865,-1.589172825855806,-3.688992775996671,1.225221499243896
Rui Hachimura,hachiru01,2022,1937,943,-.9929024258961017,-2.458552651515176,-3.451455077411278,-.2908778161468756,-4.340685715527608,-4.631563531674483,-.8842695823935693,-2.972701874615372,-3.856971457008942,-.5284910856434302,-.5284910856434302,0,-1.118056285934914,-3.001465328548924,-4.119521614483838,-.7686271477802284
Tyrese Haliburton,halibty01,2022,5652,2695,3.183194910691638,-.8837883307086375,2.299406579983,.1638062155160035,-1.694797521784742,-1.530991306268738,2.764219875591649,-1.066540206758019,1.69767966883363,6.11234563355192,6.11234563355192,0,2.379538030795153,-.614958610453996,1.764579420341157,-.0485186464448216
Tyler Hall,hallty01,2022,5,2,-6.092543455149237,-6.832322909452398,-12.92486636460164,-34.54280290120099,-32.64742836090627,-67.19023126210726,-12.50983484047858,-12.6892385417645,-25.19907338224308,-.0228032095110694,-.0228032095110694,0,-12.75071064324734,-12.58247662901909,-25.33318727226643,-.4532579218763494
R.J. Hampton,hamptrj01,2022,2965,1402,-3.028467505318809,-1.733627858973799,-4.762095364292607,-5.448625538931375,-3.04336242877656,-8.491987967707935,-3.619847276170201,-2.088148930623719,-5.707996206793919,-2.118598929453977,-2.118598929453977,0,-4.313295335313001,-2.050960621125494,-6.364255956438496,.1296467454951787
Tim Hardaway Jr.,hardati02,2022,2515,1245,.615916412283219,.3175014463905938,.933417858673813,-2.850769177147806,1.165064181282242,-1.685704995865564,-.0883525131415737,.4936372137021109,.4052847005605373,2.001993172249828,2.001993172249828,0,.9033417996917662,.9498348640730395,1.853176663764806,-.1117922820112241
James Harden,hardeja01,2022,5932,2898,3.564152344838479,-1.485025336368249,2.07912700847023,2.499684034913544,-.9308854445755771,1.568798590337966,3.522769700548162,-1.456575731354306,2.066193969193855,7.227443906860888,5.637989912863496,1.589453993997392,3.827191800239712,-1.390266951821449,2.436924848418263,.393078357624746
Maurice Harkless,harklma01,2022,1818,863,-3.868388447644704,-.6683030713800902,-4.536691519024794,-.0775273129522059,2.577341276028381,2.499813963076175,-3.294387339426257,.0163673634735135,-3.278019975952743,-.2318442093636816,-.2318442093636816,0,-3.157560546962042,-.6526345446411012,-3.810195091603143,-.2771651962243056
Jared Harper,harpeja01,2022,85,43,18.460991314627,-2.384109792391238,16.07688152223576,18.1078485281051,-11.48453624973705,6.623312278368047,19.58293598470689,-4.38538996601458,15.19754601869231,.3902537872618524,.3902537872618524,0,14.84459672617029,-3.06269656191158,11.78190016425871,-.8864505153789596
Montrezl Harrell,harremo01,2022,3393,1641,2.032999079326696,.1123052137396392,2.145304293066335,1.510057221993709,1.916945546714967,3.427002768708677,2.053165171131524,.5319680472396318,2.585133218371156,4.455444129743747,4.455444129743747,0,1.739680705356997,-.2017067259716343,1.537973979385363,-.4299532388098736
